City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
sitka,24,US,03/26/19,61,37.17,-99.65,60.01,10.0
zhangye,0,CN,03/26/19,56,38.94,100.46,26.95,7.11
ushuaia,75,AR,03/26/19,76,-54.81,-68.31,51.8,3.36
port alfred,36,ZA,03/26/19,93,-33.59,26.89,65.61,9.35
albany,1,US,03/26/19,24,42.65,-73.75,36.0,12.75
butaritari,20,KI,03/26/19,100,3.07,172.79,84.24,17.29
verkhoyansk,0,RU,03/26/19,54,67.55,133.39,-5.86,2.75
upernavik,48,GL,03/26/19,100,72.79,-56.15,4.14,4.21
davenda,48,RU,03/26/19,52,53.56,119.32,11.61,2.75
sao joao da barra,12,BR,03/26/19,100,-21.64,-41.05,80.46,17.52
hilo,1,US,03/26/19,54,19.71,-155.08,78.8,9.17
shimoda,40,JP,03/26/19,55,34.7,138.93,60.8,11.41
kapaa,90,US,03/26/19,73,22.08,-159.32,80.6,10.29
lakhdenpokhya,0,RU,03/26/19,61,61.52,30.2,23.0,10.69
lebu,20,ET,03/26/19,62,8.96,38.73,59.0,2.24
hermanus,88,ZA,03/26/19,80,-34.42,19.24,64.99,11.01
rikitea,20,PF,03/26/19,97,-23.12,-134.97,80.01,16.06
sao miguel do araguaia,92,BR,03/26/19,95,-13.28,-50.16,72.99,4.99
tchaourou,20,BJ,03/26/19,76,8.89,2.6,76.36,3.09
melbu,92,NO,03/26/19,94,68.5,14.83,33.01,15.01
villa maria,75,CO,03/26/19,82,4.5,-74.09,57.2,5.82
provideniya,75,RU,03/26/19,86,64.42,-173.23,33.8,35.79
punta arenas,20,CL,03/26/19,71,-53.16,-70.91,51.8,19.46
alofi,90,NU,03/26/19,70,-19.06,-169.92,84.2,14.99
vanimo,64,PG,03/26/19,100,-2.67,141.3,81.36,9.69
alba,0,IT,03/26/19,39,44.69,8.03,46.99,6.93
castro,0,CL,03/26/19,87,-42.48,-73.76,53.6,4.7
saskylakh,76,RU,03/26/19,76,71.97,114.09,14.8,5.1
souillac,0,FR,03/26/19,65,45.6,-0.6,44.6,11.41
